Athyrium filix-femina (L.) Roth;Кочедыжник женский; ; ; ;;1; ; ; 
Dryopteris carthusiana (Vill.) H. P. Fuchs;Щитовник Картузиуса; ; ;1;1; ; ;1;1
Dryopteris cristata (L.) A. Gray;Щитовник гребенчатый; ; ; ;;1; ; ;1
Thelypteris palustris Schott;Телиптерис болотный; ; ; ; ;1; ; ; 
Equisetum fluviatile L.;Хвощ речной; ;1; ; ;1; ; ;1
Equisetum sylvaticum L.;Хвощ лесной; ; ;1; ;1; ; ; 
Lycopodiella inundata (L.) Holub;Плаунок топяной;В1; ; ; ;1; ; ; 
Picea abies (L.) Karst.;Ель обыкновенная; ; ;1; ; ; ;1; 
Pinus sylvestris L.;Сосна обыкновенная; ;1;1;1;1;1;1; 
Typha latifolia L.;Рогоз широколистный; ;1; ; ; ; ; ;1
Scheuchzeria palustris L.;Шейхцерия болотная; ;1;1;1;1;1;1; 
Alisma plantago-aquatica L.;Частуха подорожниковая; ; ; ; ; ; ; ;1
Agrostis canina L.;Полевица собачья; ;1;1; ; ; ;1; 
Calamagrostis canescens (Web.) Roth;Вейник седеющий; ;1;1;1;1; ;1;1
Molinia caerulea (L.) Moench;Молиния голубая; ; ;1;1; ; ;1; 
Phragmites australis (Cav.) Trin. ex Steud.;Тростник южный; ;1;1;1;1; ;1;1
Carex acuta L.;Осока острая; ; ; ; ; ; ;1; 
Carex chordorrhiza Ehrh.;Осока струннокоренная;З; ;1; ;1; ;1; 
Carex cinerea Poll.;Осока сероватая; ;1;1; ;1; ;1;1
Carex dioica L.;Осока двудомная;З; ; ; ;1; ; ; 
Carex echinata Murr.;Осока ежисто-колючая; ; ;1; ;1; ; ; 
Carex elongata L.;Осока удлиненная; ; ; ; ; ; ; ;1
Carex globularis L.;Осока шаровидная; ; ;1;1; ; ;1;1
Carex irrigua (Wahlenb.) Smith ex Hoppe;Осока заливная; ; ; ; ;1; ; ; 
Carex lasiocarpa Ehrh.;Осока пушистоплодная; ;1;1;1;1; ;1; 
Carex limosa L.;Осока топяная; ; ; ;1;1;1;1; 
Carex loliacea L.;Осока плевельная;Прилож; ; ; ;1; ; ; 
Carex nigra (L.) Reichard;Осока черная; ; ; ; ; ; ;1; 
Carex omskiana Meinsh.;Осока омская; ; ; ;1; ; ;1; 
Carex pauciflora Lightf.;Осока малоцветковая;З; ;1;1;1; ; ; 
Carex pseudocyperus L.;Осока ложносытевая; ; ; ; ;1; ; ;1
Carex rostrata Stokes;Осока вздутая; ;1;1;1;1;1;1;1
Carex vesicaria L.;Осока пузырчатая; ; ; ; ; ; ; ;1
Eriophorum polystachyon L.;Пушица многоколосковая; ;1;1;1; ; ;1; 
Eriophorum vaginatum L.;Пушица влагалищная; ;1;1;1;1;1;1; 
Rhynchospora alba (L.) Vahl;Очеретник белый; ; ;1;1;1; ; ; 
Scirpus sylvaticus L.;Камыш лесной; ; ;1;1;1; ;1; 
Calla palustris L.;Белокрыльник болотный; ;1;1; ;1; ;1;1
Juncus effusus L.;Ситник развесистый; ;1;1; ; ; ;1; 
Juncus filiformis L.;Ситник нитевидный; ;1;1; ; ;1;1; 
Dactylorhiza fuchsii (Druce) Soo;Пальчатокоренник Фукса; ; ; ; ; ; ;1; 
Dactylorhiza maculata (L.) Soo;Пальчатокоренник пятнистый; ;1;1;1;1;1;1; 
Listera cordata (L.) R. Br.;Тайник сердцевидный;А; ;1; ; ; ; ; 
Populus tremula L.;Осина; ; ;1;1;1; ;1; 
Salix aurita L.;Ива ушастая; ;1;1;1;1; ;1; 
Salix cinerea L.;Ива пепельная; ; ; ;1;1; ;1;1
Salix lapponum L.;Ива лопарская;З; ; ;1;1; ;1; 
Salix myrtilloides L.;Ива черничная;З; ; ;1;1;1;1; 
Salix pentandra L.;Ива пятитычинковая; ; ; ; ; ; ; ;1
Salix rosmarinifolia L.;Ива розмаринолистная; ; ;1; ; ; ;1; 
Salix starkeana Willd.;Ива Штарке; ; ; ;1; ; ;1; 
Alnus glutinosa (L.) Gaertn.;Ольха клейкая; ;1;1; ;1; ;1;1
Betula humilis Schrank;Береза приземистая; ; ; ; ;1; ;1; 
Betula pendula Roth;Береза поникшая; ; ;1;1; ; ; ; 
Betula pubescens Ehrh.;Бeреза пушистая; ;1;1;1;1;1;1;1
Rorippa palustris (L.) Bess.;Жерушник болотный; ; ; ; ; ; ; ;1
Drosera x obovata Mert. et Koch.;Росянка обратнояйцевидная;Прилож; ; ; ;1; ;1; 
Drosera rotundifolia L.;Росянка круглолистная; ; ;1;1;1;1;1; 
Comarum palustre L.;Сабельник болотный; ;1;1;1;1; ;1;1
Filipendula ulmaria (L.) Maxim.;Таволга вязолистная; ; ; ; ;1; ; ;1
Potentilla erecta (L.) Raeusch.;Лапчатка прямостоячая; ; ;1; ; ; ;1; 
Frangula alnus Mill.;Крушина ломкая; ; ;1;1;1; ;1; 
Viola epipsila Ledeb.;Фиалка лысая; ; ; ; ;1; ; ;1
Lythrum salicaria L.;Дербенник иволистный; ; ; ; ;1; ; ;1
Chamerion angustifolium (L.) Holub;Иван-чай узколистный; ; ;1;1; ; ;1; 
Epilobium palustre L.;Кипрей болотный; ; ;1; ;1; ; ;1
Cicuta virosa L.;Вех ядовитый; ; ; ; ; ; ; ;1
Thyselium palustre (L.) Raf.;Горичник болотный; ; ; ; ; ; ; ;1
Andromeda polifolia L.;Подбел обыкновенный; ;1;1;1;1;1;1; 
Calluna vulgaris (L.) Hull;Вереск обыкновенный; ; ; ; ; ; ;1; 
Chamaedaphne calyculata (L.) Moench;Хамедафна обыкновенная; ;1;1;1;1;1;1; 
Ledum palustre L.;Багульник болотный; ; ;1;1;1;1;1; 
Oxycoccus microcarpus Turcz. ex Rupr.;Клюква мелкоплодная;З; ;1;1; ;1; ; 
Oxycoccus palustris Pers.;Клюква болотная; ;1;1;1;1;1;1; 
Vaccinium myrtillus L.;Черника; ;1;1;1;1; ;1; 
Vaccinium uliginosum L.;Голубика; ;1;1;1;1;1;1; 
Vaccinium vitis-idaea L.;Брусника; ; ;1;1;1; ;1; 
Lysimachia vulgaris L.;Вербейник обыкновенный; ;1; ; ;1; ;1;1
Naumburgia thyrsiflora (L.) Reichenb.;Наумбургия кистецветная; ;1;1;1;1; ;1;1
Trientalis europaea L.;Седмичник европейский; ; ;1;1;1; ;1; 
Menyanthes trifoliata L.;Вахта трехлистная; ; ; ;1;1; ;1; 
Lycopus europaeus L.;Зюзник европейский; ; ;1; ; ;1;1;1
Mentha arvensis L.;Мята полевая; ; ;1; ; ; ; ; 
Scutellaria galericulata L.;Шлемник обыкновенный; ; ;1; ; ; ; ; 
Solanum dulcamara L.;Паслен сладко-горький; ; ; ; ;1; ; ; 
Melampyrum pratense L.;Марьянник луговой; ; ; ;1; ; ;1; 
Galium palustre L.;Подмаренник болотный; ; ;1; ; ; ; ;1
Achillea cartilaginea Ledeb.;Тысячелистник хрящеватый; ; ; ;; ;1;1; 
